,,,,,,
Disease,Symptoms,Causes,Preventive Measures,Necessary Actions,,
Algal Leaf Spot,"	Circular or irregular spots: Small to medium-sized spots on leaves, ranging from a few millimeters to several centimeters in diameter. These spots may be circular or irregularly shaped.
	Lesions may have a fuzzy or powdery appearance.
	Leaf wilting and dieback in severe cases.
","	Fungal pathogens like Botrytis cinerea.
	High humidity and poor air circulation.
","	Improve ventilation in growing areas.
	Avoid overhead watering.
	Remove and destroy infected plant debris promptly.
","	Apply fungicides labeled for gray blight control.
	Prune affected plant parts to improve airflow.
",,
Early blight,"	Dark brown to black spots with concentric rings on lower leaves.
	Leaf yellowing and wilting.
	Defoliation in advanced stages.
","	Fungal pathogen Alternaria solani.
	Warm, humid conditions.
","	Rotate crops to reduce pathogen buildup.
	Mulch to prevent soil splash onto lower leaves.
	Water at the base of plants.
","	Apply fungicides if necessary.
	Remove and destroy infected plant debris.
",,
Late blight,"	Water-soaked lesions on leaves, often starting at leaf tips.
	White mold growth on the undersides of leaves in humid conditions.
	Rapid defoliation in severe cases.
","	Oomycete pathogen Phytophthora infestans.
	Cool, wet conditions.
","	Improve airflow around plants.
	Avoid overhead irrigation.
	Apply preventive fungicides in high-risk areas.
","	Remove and destroy infected plants promptly.
	Apply fungicides if late blight is detected early.
",,
Bacterial spot,"	Small, water-soaked lesions on leaves, which may turn brown or black.
	Lesions may coalesce and cause leaf distortion.
	Fruit may develop raised, scabby lesions.
","	Bacterial pathogens like Xanthomonas spp. or Pseudomonas spp.
	Warm, humid conditions.
","	Use disease-free seeds or transplants.
	Rotate crops.
	Improve air circulation.
","	Apply copper-based bactericides.
	Remove and destroy infected plant material.
	Prune to improve airflow.
",,
Curl virus,"	Curling and distortion of leaves.
	Stunted growth.
	Yellowing or mottling of leaves.
","	Viral infection transmitted by insect vectors like whiteflies or aphids.
	Infected plant material or weeds.
","	Use insecticides to control vector populations.
	Remove infected plants promptly.
	Practice crop rotation.
","	Remove and destroy infected plants.
	Minimize weed hosts.
",,
Spider Mites,"	Fine webbing on leaves and stems.
	Yellow stippling or bronzing of leaves.
	Leaf drop in severe cases.
","	Infestation by spider mites (Tetranychidae family).
	Hot, dry conditions.
","	Monitor plants regularly for signs of infestation.
	Increase humidity to discourage mite activity.
	Use biological control agents like predatory mites.
","	Spray affected plants with a strong stream of water to dislodge mites.
	Apply miticides if infestation is severe.
	Remove heavily infested plant material.
",,
Powdery Mildew,"	White powdery patches on leaves, stems, and flowers.
	Leaf curling or distortion.
	Premature leaf drop.
","	Fungal pathogens like Erysiphe spp. or Sphaerotheca spp.
	High humidity and moderate temperatures.
","	Provide good air circulation.
	Avoid overhead irrigation.
	Remove and destroy infected plant material.
","	Apply fungicides labeled for powdery mildew control.
	Prune to improve airflow.
	Apply preventive fungicides in high-risk areas.
",,
Yellow leaf disease,"	Yellowing of leaves, starting at the tips or edges.
	Leaf drop.
	Stunted growth.
","	Nutrient deficiencies, particularly nitrogen.
	Poor soil drainage.
","	Soil testing to determine nutrient deficiencies.
	Amend soil with organic matter.
	Provide proper irrigation and drainage.
","	Apply fertilizers according to soil test recommendations.
	Mulch to conserve soil moisture and regulate temperature.
	Address drainage issues if present.
",,
Leaf Mold,"	Yellowing of leaves with fuzzy white or gray patches on the undersides.
	Leaf curling or distortion.
	Premature leaf drop.
","	Fungal pathogens like Fulvia fulva.
	High humidity and moderate temperatures.
","	Improve air circulation.
	Avoid overhead irrigation.
	Remove and destroy infected plant material.
","	Apply fungicides labeled for leaf mold control.
	Prune to improve airflow.
	Apply preventive fungicides in high-risk areas.
",,
Red spot,"	Red or purplish spots on leaves, often with yellow halos.
	Leaf curling or distortion.
	Premature leaf drop.
","	Fungal pathogens like Cercospora spp. or Colletotrichum spp.
	Warm, humid conditions.
","	Practice good sanitation.
	Improve air circulation.
	Avoid overhead irrigation.
","	Practice good sanitation.
	Improve air circulation.
	Avoid overhead irrigation.
",,
